Epoch,GPU_mem,box_loss,obj_loss,cls_loss,total_loss,targets,img_size,P,R,mAP@.5,mAP@.5:.95,val_box_loss,val_obj_loss,val_cls_loss
0,0,0.03593,0.01158,0.02009,0.0676,21,320,0.9007,0.7721,0.853,0.7691,0.03192,0.006384,0.0088
1,0,0.02023,0.008828,0.01054,0.0396,23,320,0.9631,0.9485,0.9829,0.8714,0.01175,0.008168,0.002795
2,0,0.01708,0.008003,0.008253,0.03333,20,320,0.9655,0.9684,0.9903,0.914,0.006991,0.006073,0.001264
3,0,0.01667,0.007764,0.007984,0.03242,37,320,0.9003,0.9594,0.9504,0.8837,0.00618,0.007425,0.001211
4,0,0.0146,0.007238,0.007328,0.02916,21,320,0.9461,0.971,0.9859,0.9255,0.006001,0.006509,0.00101
5,0,0.0125,0.006856,0.00626,0.02562,26,320,0.9669,0.9821,0.9868,0.9252,0.005399,0.006361,0.0007872
6,0,0.01201,0.006803,0.005886,0.0247,21,320,0.973,0.9821,0.9922,0.9328,0.005062,0.006126,0.0006248
7,0,0.01168,0.006761,0.005615,0.02406,28,320,0.9774,0.9839,0.9921,0.9338,0.004905,0.006037,0.0005727
8,0,0.01142,0.006745,0.005481,0.02365,26,320,0.9818,0.9816,0.9921,0.9348,0.004921,0.005953,0.0005477
9,0,0.01129,0.006742,0.005404,0.02344,23,320,0.9832,0.9827,0.9921,0.9349,0.004918,0.005953,0.0005353